Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians per 1000,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy
Afghanistan,Asia,Southern Asia,Southern Asia,19996141020.0625,11.44768809,,66.388,63.382,0.2782,38928341.0,27.0161290322581,4.90507984161377,14.2081003189087,98920.0,No
Albania,Europe,Southern Europe,Southern Europe,14541470525.5407,69.64285467,6406000.0,80.201,77.002,1.2164,2837743.0,29.5081967213115,73.3405303955078,46.9440383911133,10080.0,No
Algeria,Africa,Northern Africa,Northern Africa,141854503347.616,49.03846808,2371000.0,78.133,75.676,1.7193,43851043.0,25.7575757575758,64.4208068847656,38.8316993713379,218910.0,No
American Samoa,Oceania,Polynesia,Polynesia,189700000.0,0.0,52700.0007629395,,,0.781,55197.0,,,,20.7495349,No
Andorra,Europe,Southern Europe,Southern Europe,,91.56746703,8235000.0,,,3.3333,77265.0,46.4285714285714,,,590.0,No
Angola,Africa,Sub-Saharan Africa,Middle Africa,57402543636.1712,14.33907936,218000.0,64.039,58.416,0.2146,32866268.0,30.0,8.45324993133545,10.2382297515869,79730.0,No
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,1390371092.38578,73.0,1035000.0,78.104,75.858,2.956,97928.0,11.1111111111111,34.2888603210449,15.2688798904419,1210.0,Yes
Argentina,Americas,Latin America and the Caribbean,South America,372835129455.679,74.29490687,7399000.0,79.995,73.242,3.9901,45376763.0,40.8560311284047,112.798439025879,67.7747268676758,365650.0,No
Armenia,Asia,Western Asia,Western Asia,12446598216.9565,68.24505226,1894000.0,78.516,71.327,4.4023,2963234.0,23.4848484848485,59.4484710693359,44.3823699951172,9360.0,No
Aruba,Americas,Latin America and the Caribbean,Caribbean,2991584752.18033,97.17,1951000.0,78.641,73.768,1.12,106766.0,,20.6979198455811,10.6673498153687,616.928696,Yes
Australia,Oceania,Australia and New Zealand,Australia and New Zealand,1303127765115.97,86.54504885,9466000.0,85.0,80.9,3.6778,25687041.0,30.4635761589404,124.439758300781,91.8328628540039,615380.0,Yes
Austria,Europe,Western Europe,Western Europe,447294996188.235,87.75220479,31884000.0,84.2,79.5,5.1697,8917205.0,39.344262295082,94.6315612792969,79.208251953125,74980.0,Yes
Azerbaijan,Asia,Western Asia,Western Asia,42150898470.5882,79.79999549,3170000.0,75.455,70.511,3.446,10110116.0,17.3553719008264,34.0135803222656,29.3166809082031,80260.0,No
"Bahamas, The",Americas,Latin America and the Caribbean,Caribbean,10816902726.9444,85.0,7250000.0,76.081,71.659,2.0068,393248.0,12.8205128205128,22.1373500823975,8.17963981628418,2640.0,Yes
Bahrain,Asia,Western Asia,Western Asia,36313430851.0638,99.70150438,11061000.0,78.423,76.436,0.9257,1701583.0,15.0,73.9171981811523,41.0149307250977,48950.0,Yes
Bangladesh,Asia,Southern Asia,Southern Asia,338933058607.445,12.9,323000.0,74.595,70.877,0.5809,164689383.0,20.9169054441261,20.0184707641602,27.867769241333,198970.0,No
Barbados,Americas,Latin America and the Caribbean,Caribbean,4184197640.16837,81.76077839,966000.0,80.482,77.814,2.4843,287371.0,20.0,90.5716094970703,40.3346290588379,3790.0,Yes
Belarus,Europe,Eastern Europe,Eastern Europe,57647179086.7355,82.78915209,11832000.0,79.4,69.3,5.1905,9398861.0,40.0,95.0921401977539,80.1762390136719,88140.0,No
Belgium,Europe,Western Europe,Western Europe,539738514469.019,90.37051309,9343000.0,84.0,79.6,3.0709,11555997.0,41.3333333333333,89.7369995117188,68.5491409301758,108750.0,Yes
Belize,Americas,Latin America and the Caribbean,Central America,1605121125.71739,47.0826258,1674000.0,77.843,71.65,1.1229,397621.0,9.67741935483871,31.3157501220703,18.6600208282471,1560.0,No
Benin,Africa,Sub-Saharan Africa,Western Africa,15488837234.83,14.11901233,337000.0,63.324,60.201,0.0791,12123198.0,7.2289156626506,7.94633007049561,17.0004405975342,17380.0,No
Bermuda,Americas,Northern America,Northern America,7587978000.0,98.37,805000.0,85.79,78.13,1.766,63903.0,,22.905330657959,15.2836103439331,932.164785,Yes
Bhutan,Asia,Southern Asia,Southern Asia,2194394782.26136,41.77264453,316000.0,72.176,71.405,0.4242,771612.0,14.8936170212766,16.9726505279541,15.9781398773193,2470.0,No
Bolivia,Americas,Latin America and the Caribbean,South America,36171181928.3489,44.28614216,1239000.0,74.508,68.684,1.5901,11673029.0,46.1538461538462,,,56870.0,No
Bosnia and Herzegovina,Europe,Southern Europe,Southern Europe,19854234711.7065,69.94634763,1198000.0,79.857,74.893,2.1616,3280815.0,26.1904761904762,48.4900817871094,32.3972015380859,27190.0,No
Botswana,Africa,Sub-Saharan Africa,Southern Africa,14523517159.7425,41.41379464,1830000.0,72.386,66.485,0.5269,2351625.0,10.7692307692308,29.9308605194092,20.2984504699707,16120.0,No
Brazil,Americas,Latin America and the Caribbean,South America,1417068693062.22,70.43428254,6353000.0,79.555,72.243,2.1643,212559409.0,14.6198830409357,49.3431396484375,37.5700302124023,1032640.0,No
